GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [jolly-crane] ===
Device: cuda
Batch size: 16
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221513_small_jolly-crane/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_base_jolly-crane/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_large_jolly-crane/metrics.jsonl

step       5 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.5977 | acc 0.001 | lr 3.00e-05 | gn 1.14
   base: loss 7.6109 | acc 0.000 | lr 3.00e-05 | gn 1.77
  large: loss 7.5820 | acc 0.001 | lr 3.00e-05 | gn 1.65
step      10 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.5399 | acc 0.003 | lr 6.00e-05 | gn 0.75
   base: loss 7.4864 | acc 0.002 | lr 6.00e-05 | gn 1.02
  large: loss 7.4516 | acc 0.002 | lr 6.00e-05 | gn 1.13
step      15 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.4990 | acc 0.002 | lr 9.00e-05 | gn 0.54
   base: loss 7.4132 | acc 0.003 | lr 9.00e-05 | gn 0.67
  large: loss 7.3710 | acc 0.004 | lr 9.00e-05 | gn 0.67
step      20 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.4223 | acc 0.002 | lr 1.20e-04 | gn 0.48
   base: loss 7.3039 | acc 0.002 | lr 1.20e-04 | gn 0.57
  large: loss 7.2476 | acc 0.001 | lr 1.20e-04 | gn 0.57
step      25 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.3700 | acc 0.003 | lr 1.50e-04 | gn 0.41
   base: loss 7.2263 | acc 0.002 | lr 1.50e-04 | gn 0.44
  large: loss 7.1828 | acc 0.003 | lr 1.50e-04 | gn 0.46
step      30 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.2946 | acc 0.003 | lr 1.80e-04 | gn 0.37
   base: loss 7.1653 | acc 0.003 | lr 1.80e-04 | gn 0.42
  large: loss 7.1236 | acc 0.004 | lr 1.80e-04 | gn 0.45
step      35 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.2898 | acc 0.001 | lr 2.10e-04 | gn 0.29
   base: loss 7.2295 | acc 0.001 | lr 2.10e-04 | gn 0.36
  large: loss 7.2033 | acc 0.004 | lr 2.10e-04 | gn 0.44
step      40 | 65 g/s | 0.25s | active: small, base, large
  small: loss 7.1809 | acc 0.003 | lr 2.40e-04 | gn 0.31
   base: loss 7.1152 | acc 0.005 | lr 2.40e-04 | gn 0.42
  large: loss 7.0826 | acc 0.006 | lr 2.40e-04 | gn 0.51
step      45 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1564 | acc 0.003 | lr 2.70e-04 | gn 0.26
   base: loss 7.1083 | acc 0.004 | lr 2.70e-04 | gn 0.40
  large: loss 7.0909 | acc 0.004 | lr 2.70e-04 | gn 0.61
step      50 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1134 | acc 0.003 | lr 3.00e-04 | gn 0.26
   base: loss 7.0570 | acc 0.005 | lr 3.00e-04 | gn 0.40
  large: loss 7.0325 | acc 0.003 | lr 3.00e-04 | gn 0.40
step      55 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1486 | acc 0.003 | lr 3.00e-04 | gn 0.25
   base: loss 7.0909 | acc 0.003 | lr 3.00e-04 | gn 0.35
  large: loss 7.0785 | acc 0.004 | lr 3.00e-04 | gn 0.40
step      60 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0910 | acc 0.004 | lr 3.00e-04 | gn 0.26
   base: loss 7.0255 | acc 0.005 | lr 3.00e-04 | gn 0.34
  large: loss 7.0178 | acc 0.004 | lr 3.00e-04 | gn 0.37
step      65 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1091 | acc 0.004 | lr 3.00e-04 | gn 0.49
   base: loss 7.0510 | acc 0.005 | lr 3.00e-04 | gn 0.36
  large: loss 7.0367 | acc 0.005 | lr 3.00e-04 | gn 0.40
step      70 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1188 | acc 0.005 | lr 3.00e-04 | gn 0.50
   base: loss 7.0674 | acc 0.004 | lr 3.00e-04 | gn 0.38
  large: loss 7.0604 | acc 0.004 | lr 3.00e-04 | gn 0.42
step      75 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1006 | acc 0.004 | lr 3.00e-04 | gn 0.30
   base: loss 7.0428 | acc 0.005 | lr 3.00e-04 | gn 0.36
  large: loss 7.0377 | acc 0.004 | lr 3.00e-04 | gn 0.42
step      80 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1223 | acc 0.004 | lr 2.99e-04 | gn 0.29
   base: loss 7.0744 | acc 0.004 | lr 2.99e-04 | gn 0.34
  large: loss 7.0686 | acc 0.005 | lr 2.99e-04 | gn 0.39
step      85 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1025 | acc 0.004 | lr 2.99e-04 | gn 0.25
   base: loss 7.0728 | acc 0.005 | lr 2.99e-04 | gn 0.34
  large: loss 7.0692 | acc 0.007 | lr 2.99e-04 | gn 0.39
step      90 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1021 | acc 0.004 | lr 2.99e-04 | gn 0.25
   base: loss 7.0770 | acc 0.005 | lr 2.99e-04 | gn 0.34
  large: loss 7.0740 | acc 0.005 | lr 2.99e-04 | gn 0.38
step      95 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.1023 | acc 0.004 | lr 2.99e-04 | gn 0.27
   base: loss 7.0812 | acc 0.006 | lr 2.99e-04 | gn 0.36
  large: loss 7.0766 | acc 0.005 | lr 2.99e-04 | gn 0.40
step     100 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0693 | acc 0.004 | lr 2.98e-04 | gn 0.25
   base: loss 7.0428 | acc 0.004 | lr 2.98e-04 | gn 0.34
  large: loss 7.0407 | acc 0.005 | lr 2.98e-04 | gn 0.38
step     105 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0444 | acc 0.005 | lr 2.98e-04 | gn 0.24
   base: loss 7.0230 | acc 0.005 | lr 2.98e-04 | gn 0.33
  large: loss 7.0223 | acc 0.005 | lr 2.98e-04 | gn 0.38
step     110 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0378 | acc 0.004 | lr 2.97e-04 | gn 0.25
   base: loss 7.0206 | acc 0.005 | lr 2.97e-04 | gn 0.38
  large: loss 7.0150 | acc 0.007 | lr 2.97e-04 | gn 0.41
step     115 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0889 | acc 0.004 | lr 2.97e-04 | gn 0.24
   base: loss 7.0758 | acc 0.005 | lr 2.97e-04 | gn 0.34
  large: loss 7.0679 | acc 0.005 | lr 2.97e-04 | gn 0.37
step     120 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0604 | acc 0.006 | lr 2.96e-04 | gn 0.26
   base: loss 7.0393 | acc 0.005 | lr 2.96e-04 | gn 0.36
  large: loss 7.0302 | acc 0.005 | lr 2.96e-04 | gn 0.44
step     125 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0629 | acc 0.004 | lr 2.96e-04 | gn 0.24
   base: loss 7.0397 | acc 0.005 | lr 2.96e-04 | gn 0.35
  large: loss 7.0330 | acc 0.007 | lr 2.96e-04 | gn 0.43
step     130 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0530 | acc 0.004 | lr 2.95e-04 | gn 0.26
   base: loss 7.0316 | acc 0.005 | lr 2.95e-04 | gn 0.37
  large: loss 7.0160 | acc 0.005 | lr 2.95e-04 | gn 0.41
step     135 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0742 | acc 0.005 | lr 2.95e-04 | gn 0.25
   base: loss 7.0452 | acc 0.006 | lr 2.95e-04 | gn 0.36
  large: loss 7.0331 | acc 0.005 | lr 2.95e-04 | gn 0.40
step     140 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0820 | acc 0.005 | lr 2.94e-04 | gn 0.23
   base: loss 7.0567 | acc 0.008 | lr 2.94e-04 | gn 0.39
  large: loss 7.0397 | acc 0.005 | lr 2.94e-04 | gn 0.39
step     145 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0476 | acc 0.004 | lr 2.93e-04 | gn 0.23
   base: loss 7.0118 | acc 0.006 | lr 2.93e-04 | gn 0.32
  large: loss 6.9979 | acc 0.005 | lr 2.93e-04 | gn 0.37
step     150 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0307 | acc 0.006 | lr 2.93e-04 | gn 0.26
   base: loss 6.9913 | acc 0.006 | lr 2.93e-04 | gn 0.36
  large: loss 6.9805 | acc 0.007 | lr 2.93e-04 | gn 0.39
step     155 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0552 | acc 0.005 | lr 2.92e-04 | gn 0.25
   base: loss 7.0038 | acc 0.007 | lr 2.92e-04 | gn 0.35
  large: loss 6.9917 | acc 0.007 | lr 2.92e-04 | gn 0.38
step     160 | 64 g/s | 0.25s | active: small, base, large
  small: loss 7.0177 | acc 0.008 | lr 2.91e-04 | gn 0.32
   base: loss 6.9616 | acc 0.007 | lr 2.91e-04 | gn 0.35
  large: loss 6.9487 | acc 0.006 | lr 2.91e-04 | gn 0.43
step     165 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.9951 | acc 0.006 | lr 2.90e-04 | gn 0.26
   base: loss 6.9530 | acc 0.007 | lr 2.90e-04 | gn 0.36
  large: loss 6.9310 | acc 0.007 | lr 2.90e-04 | gn 0.51
