GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [fair-otter] ===
Device: cuda
Batch size: 32
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222643_small_fair-otter/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222643_base_fair-otter/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222644_large_fair-otter/metrics.jsonl

step       5 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.5952 | acc 0.001 | lr 3.00e-05 | gn 1.01
   base: loss 7.6024 | acc 0.001 | lr 3.00e-05 | gn 1.29
  large: loss 7.6083 | acc 0.001 | lr 3.00e-05 | gn 1.58
step      10 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.5384 | acc 0.002 | lr 6.00e-05 | gn 0.65
   base: loss 7.4799 | acc 0.003 | lr 6.00e-05 | gn 0.84
  large: loss 7.4555 | acc 0.002 | lr 6.00e-05 | gn 0.88
step      15 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.4884 | acc 0.001 | lr 9.00e-05 | gn 0.44
   base: loss 7.4014 | acc 0.002 | lr 9.00e-05 | gn 0.55
  large: loss 7.3706 | acc 0.003 | lr 9.00e-05 | gn 0.57
step      20 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.4226 | acc 0.001 | lr 1.20e-04 | gn 0.39
   base: loss 7.3076 | acc 0.003 | lr 1.20e-04 | gn 0.46
  large: loss 7.2548 | acc 0.003 | lr 1.20e-04 | gn 0.48
step      25 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.3566 | acc 0.002 | lr 1.50e-04 | gn 0.34
   base: loss 7.2321 | acc 0.003 | lr 1.50e-04 | gn 0.36
  large: loss 7.1769 | acc 0.004 | lr 1.50e-04 | gn 0.41
step      30 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.2951 | acc 0.002 | lr 1.80e-04 | gn 0.29
   base: loss 7.1842 | acc 0.003 | lr 1.80e-04 | gn 0.31
  large: loss 7.1408 | acc 0.004 | lr 1.80e-04 | gn 0.34
step      35 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.2561 | acc 0.002 | lr 2.10e-04 | gn 0.24
   base: loss 7.1827 | acc 0.004 | lr 2.10e-04 | gn 0.28
  large: loss 7.1509 | acc 0.005 | lr 2.10e-04 | gn 0.49
step      40 | 65 g/s | 0.50s | active: small, base, large
  small: loss 7.1812 | acc 0.002 | lr 2.40e-04 | gn 0.23
   base: loss 7.1205 | acc 0.004 | lr 2.40e-04 | gn 0.57
  large: loss 7.0820 | acc 0.005 | lr 2.40e-04 | gn 0.36
step      45 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.1698 | acc 0.005 | lr 2.70e-04 | gn 0.19
   base: loss 7.1159 | acc 0.005 | lr 2.70e-04 | gn 0.35
  large: loss 7.0911 | acc 0.004 | lr 2.70e-04 | gn 0.30
step      50 | 65 g/s | 0.49s | active: small, base, large
  small: loss 7.1128 | acc 0.004 | lr 3.00e-04 | gn 0.20
   base: loss 7.0485 | acc 0.005 | lr 3.00e-04 | gn 0.36
  large: loss 7.0256 | acc 0.005 | lr 3.00e-04 | gn 0.30
step      55 | 65 g/s | 0.50s | active: small, base, large
  small: loss 7.1289 | acc 0.003 | lr 3.00e-04 | gn 0.25
   base: loss 7.0617 | acc 0.004 | lr 3.00e-04 | gn 0.27
  large: loss 7.0454 | acc 0.004 | lr 3.00e-04 | gn 0.29
step      60 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0988 | acc 0.004 | lr 3.00e-04 | gn 0.22
   base: loss 7.0340 | acc 0.004 | lr 3.00e-04 | gn 0.25
  large: loss 7.0244 | acc 0.004 | lr 3.00e-04 | gn 0.28
step      65 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.1055 | acc 0.004 | lr 3.00e-04 | gn 0.54
   base: loss 7.0483 | acc 0.005 | lr 3.00e-04 | gn 0.27
  large: loss 7.0396 | acc 0.005 | lr 3.00e-04 | gn 0.30
step      70 | 65 g/s | 0.50s | active: small, base, large
  small: loss 7.1005 | acc 0.004 | lr 3.00e-04 | gn 0.42
   base: loss 7.0560 | acc 0.004 | lr 3.00e-04 | gn 0.26
  large: loss 7.0490 | acc 0.004 | lr 3.00e-04 | gn 0.28
step      75 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.1074 | acc 0.004 | lr 3.00e-04 | gn 0.19
   base: loss 7.0672 | acc 0.004 | lr 3.00e-04 | gn 0.26
  large: loss 7.0589 | acc 0.005 | lr 3.00e-04 | gn 0.29
step      80 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0940 | acc 0.005 | lr 2.99e-04 | gn 0.18
   base: loss 7.0548 | acc 0.005 | lr 2.99e-04 | gn 0.25
  large: loss 7.0513 | acc 0.006 | lr 2.99e-04 | gn 0.28
step      85 | 65 g/s | 0.50s | active: small, base, large
  small: loss 7.0748 | acc 0.004 | lr 2.99e-04 | gn 0.20
   base: loss 7.0441 | acc 0.005 | lr 2.99e-04 | gn 0.26
  large: loss 7.0361 | acc 0.005 | lr 2.99e-04 | gn 0.29
step      90 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0638 | acc 0.004 | lr 2.99e-04 | gn 0.22
   base: loss 7.0337 | acc 0.005 | lr 2.99e-04 | gn 0.25
  large: loss 7.0339 | acc 0.005 | lr 2.99e-04 | gn 0.31
step      95 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0915 | acc 0.004 | lr 2.99e-04 | gn 0.18
   base: loss 7.0620 | acc 0.004 | lr 2.99e-04 | gn 0.25
  large: loss 7.0597 | acc 0.005 | lr 2.99e-04 | gn 0.28
step     100 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0357 | acc 0.005 | lr 2.98e-04 | gn 0.17
   base: loss 7.0083 | acc 0.005 | lr 2.98e-04 | gn 0.25
  large: loss 6.9978 | acc 0.007 | lr 2.98e-04 | gn 0.28
step     105 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0634 | acc 0.004 | lr 2.98e-04 | gn 0.18
   base: loss 7.0379 | acc 0.006 | lr 2.98e-04 | gn 0.24
  large: loss 7.0295 | acc 0.006 | lr 2.98e-04 | gn 0.33
step     110 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0323 | acc 0.004 | lr 2.97e-04 | gn 0.19
   base: loss 6.9995 | acc 0.006 | lr 2.97e-04 | gn 0.29
  large: loss 6.9792 | acc 0.006 | lr 2.97e-04 | gn 0.33
step     115 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0670 | acc 0.004 | lr 2.97e-04 | gn 0.18
   base: loss 7.0312 | acc 0.006 | lr 2.97e-04 | gn 0.28
  large: loss 7.0119 | acc 0.006 | lr 2.97e-04 | gn 0.37
step     120 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0712 | acc 0.006 | lr 2.96e-04 | gn 0.18
   base: loss 7.0215 | acc 0.007 | lr 2.96e-04 | gn 0.27
  large: loss 6.9837 | acc 0.008 | lr 2.96e-04 | gn 0.34
step     125 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0455 | acc 0.005 | lr 2.96e-04 | gn 0.19
   base: loss 6.9932 | acc 0.006 | lr 2.96e-04 | gn 0.28
  large: loss 6.8902 | acc 0.010 | lr 2.96e-04 | gn 0.46
step     130 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0533 | acc 0.006 | lr 2.95e-04 | gn 0.19
   base: loss 6.9853 | acc 0.007 | lr 2.95e-04 | gn 0.27
  large: loss 6.8229 | acc 0.017 | lr 2.95e-04 | gn 1.17
step     135 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0509 | acc 0.006 | lr 2.95e-04 | gn 0.25
   base: loss 6.9645 | acc 0.007 | lr 2.95e-04 | gn 0.46
  large: loss 6.6549 | acc 0.029 | lr 2.95e-04 | gn 1.94
step     140 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0397 | acc 0.007 | lr 2.94e-04 | gn 0.25
   base: loss 6.9385 | acc 0.008 | lr 2.94e-04 | gn 0.31
  large: loss 6.4728 | acc 0.040 | lr 2.94e-04 | gn 1.21
step     145 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0077 | acc 0.006 | lr 2.93e-04 | gn 0.24
   base: loss 6.8702 | acc 0.007 | lr 2.93e-04 | gn 0.51
  large: loss 6.1146 | acc 0.046 | lr 2.93e-04 | gn 0.70
step     150 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0013 | acc 0.006 | lr 2.93e-04 | gn 0.23
   base: loss 6.8417 | acc 0.009 | lr 2.93e-04 | gn 0.66
  large: loss 6.1080 | acc 0.042 | lr 2.93e-04 | gn 0.51
step     155 | 65 g/s | 0.50s | active: small, base, large
  small: loss 6.9999 | acc 0.006 | lr 2.92e-04 | gn 0.29
   base: loss 6.7897 | acc 0.012 | lr 2.92e-04 | gn 1.18
  large: loss 6.0478 | acc 0.043 | lr 2.92e-04 | gn 0.43
step     160 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0006 | acc 0.007 | lr 2.91e-04 | gn 0.22
   base: loss 6.6968 | acc 0.025 | lr 2.91e-04 | gn 1.01
  large: loss 6.0833 | acc 0.039 | lr 2.91e-04 | gn 0.46
step     165 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.9786 | acc 0.006 | lr 2.90e-04 | gn 0.47
   base: loss 6.5484 | acc 0.032 | lr 2.90e-04 | gn 1.28
  large: loss 5.9665 | acc 0.038 | lr 2.90e-04 | gn 0.56
step     170 | 64 g/s | 0.50s | active: small, base, large
  small: loss 7.0255 | acc 0.006 | lr 2.90e-04 | gn 2.27
   base: loss 6.4642 | acc 0.036 | lr 2.90e-04 | gn 0.97
  large: loss 6.0156 | acc 0.037 | lr 2.90e-04 | gn 0.55
step     175 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.9227 | acc 0.006 | lr 2.89e-04 | gn 1.09
   base: loss 6.1334 | acc 0.046 | lr 2.89e-04 | gn 0.63
  large: loss 5.6943 | acc 0.048 | lr 2.89e-04 | gn 0.60
step     180 | 65 g/s | 0.50s | active: small, base, large
  small: loss 6.9270 | acc 0.006 | lr 2.88e-04 | gn 0.36
   base: loss 6.1701 | acc 0.043 | lr 2.88e-04 | gn 0.46
  large: loss 5.7572 | acc 0.044 | lr 2.88e-04 | gn 0.65
step     185 | 65 g/s | 0.50s | active: small, base, large
  small: loss 6.9202 | acc 0.008 | lr 2.87e-04 | gn 0.36
   base: loss 6.0701 | acc 0.039 | lr 2.87e-04 | gn 0.47
  large: loss 5.6678 | acc 0.043 | lr 2.87e-04 | gn 0.90
step     190 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.8915 | acc 0.007 | lr 2.86e-04 | gn 0.47
   base: loss 6.0619 | acc 0.044 | lr 2.86e-04 | gn 0.46
  large: loss 5.6885 | acc 0.042 | lr 2.86e-04 | gn 0.80
step     195 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.8876 | acc 0.006 | lr 2.85e-04 | gn 0.61
   base: loss 5.9934 | acc 0.042 | lr 2.85e-04 | gn 0.54
  large: loss 5.6221 | acc 0.042 | lr 2.85e-04 | gn 0.81
step     200 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.8588 | acc 0.008 | lr 2.84e-04 | gn 0.38
   base: loss 5.9267 | acc 0.042 | lr 2.84e-04 | gn 0.56
  large: loss 5.5785 | acc 0.043 | lr 2.84e-04 | gn 0.68
step     205 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.8982 | acc 0.008 | lr 2.83e-04 | gn 0.56
   base: loss 5.9500 | acc 0.038 | lr 2.83e-04 | gn 0.64
  large: loss 5.6070 | acc 0.041 | lr 2.83e-04 | gn 0.78
step     210 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.8247 | acc 0.008 | lr 2.82e-04 | gn 0.30
   base: loss 5.7359 | acc 0.049 | lr 2.82e-04 | gn 1.04
  large: loss 5.4238 | acc 0.048 | lr 2.82e-04 | gn 0.92
step     215 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.7873 | acc 0.007 | lr 2.80e-04 | gn 0.36
   base: loss 5.7162 | acc 0.043 | lr 2.80e-04 | gn 0.77
  large: loss 5.4188 | acc 0.046 | lr 2.80e-04 | gn 0.87
step     220 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.7937 | acc 0.010 | lr 2.79e-04 | gn 0.37
   base: loss 5.7476 | acc 0.040 | lr 2.79e-04 | gn 0.74
  large: loss 5.4723 | acc 0.043 | lr 2.79e-04 | gn 0.83
step     225 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.7333 | acc 0.018 | lr 2.78e-04 | gn 0.63
   base: loss 5.5691 | acc 0.048 | lr 2.78e-04 | gn 1.20
  large: loss 5.2921 | acc 0.048 | lr 2.78e-04 | gn 0.95
step     230 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.6180 | acc 0.036 | lr 2.77e-04 | gn 1.70
   base: loss 5.5699 | acc 0.050 | lr 2.77e-04 | gn 0.99
  large: loss 5.3269 | acc 0.047 | lr 2.77e-04 | gn 0.85
step     235 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.5675 | acc 0.041 | lr 2.76e-04 | gn 1.20
   base: loss 5.4976 | acc 0.046 | lr 2.76e-04 | gn 0.95
  large: loss 5.2346 | acc 0.051 | lr 2.76e-04 | gn 0.78
step     240 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.5028 | acc 0.038 | lr 2.74e-04 | gn 0.54
   base: loss 5.5700 | acc 0.046 | lr 2.74e-04 | gn 0.90
  large: loss 5.3249 | acc 0.047 | lr 2.74e-04 | gn 0.89
step     245 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.4368 | acc 0.042 | lr 2.73e-04 | gn 0.64
   base: loss 5.5599 | acc 0.048 | lr 2.73e-04 | gn 1.35
  large: loss 5.3268 | acc 0.048 | lr 2.73e-04 | gn 0.91
step     250 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.2978 | acc 0.047 | lr 2.72e-04 | gn 0.63
   base: loss 5.4470 | acc 0.048 | lr 2.72e-04 | gn 0.95
  large: loss 5.2321 | acc 0.050 | lr 2.72e-04 | gn 0.88
step     255 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.2794 | acc 0.045 | lr 2.70e-04 | gn 0.59
   base: loss 5.4680 | acc 0.045 | lr 2.70e-04 | gn 0.85
  large: loss 5.2500 | acc 0.048 | lr 2.70e-04 | gn 0.82
step     260 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.1580 | acc 0.046 | lr 2.69e-04 | gn 0.51
   base: loss 5.3892 | acc 0.049 | lr 2.69e-04 | gn 1.08
  large: loss 5.1766 | acc 0.054 | lr 2.69e-04 | gn 0.92
step     265 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.0515 | acc 0.044 | lr 2.67e-04 | gn 0.62
   base: loss 5.2688 | acc 0.050 | lr 2.67e-04 | gn 0.92
  large: loss 5.0764 | acc 0.053 | lr 2.67e-04 | gn 0.90
step     270 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.2047 | acc 0.038 | lr 2.66e-04 | gn 0.50
   base: loss 5.4797 | acc 0.039 | lr 2.66e-04 | gn 1.05
  large: loss 5.3037 | acc 0.044 | lr 2.66e-04 | gn 0.88
step     275 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.0857 | acc 0.043 | lr 2.64e-04 | gn 0.63
   base: loss 5.3434 | acc 0.050 | lr 2.64e-04 | gn 1.10
  large: loss 5.1744 | acc 0.048 | lr 2.64e-04 | gn 0.88
step     280 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.0926 | acc 0.041 | lr 2.63e-04 | gn 0.65
   base: loss 5.3627 | acc 0.044 | lr 2.63e-04 | gn 1.18
  large: loss 5.1944 | acc 0.044 | lr 2.63e-04 | gn 0.96
step     285 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.0370 | acc 0.042 | lr 2.61e-04 | gn 0.54
   base: loss 5.3503 | acc 0.048 | lr 2.61e-04 | gn 1.27
  large: loss 5.1677 | acc 0.049 | lr 2.61e-04 | gn 1.08
step     290 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.9153 | acc 0.046 | lr 2.60e-04 | gn 0.82
   base: loss 5.2191 | acc 0.048 | lr 2.60e-04 | gn 1.09
  large: loss 5.0518 | acc 0.055 | lr 2.60e-04 | gn 0.96
step     295 | 64 g/s | 0.50s | active: small, base, large
  small: loss 6.0059 | acc 0.039 | lr 2.58e-04 | gn 0.75
   base: loss 5.3628 | acc 0.039 | lr 2.58e-04 | gn 1.11
  large: loss 5.1812 | acc 0.047 | lr 2.58e-04 | gn 0.95
step     300 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8111 | acc 0.045 | lr 2.56e-04 | gn 0.79
   base: loss 5.1808 | acc 0.049 | lr 2.56e-04 | gn 1.28
  large: loss 4.9971 | acc 0.054 | lr 2.56e-04 | gn 1.00
step     305 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.7747 | acc 0.046 | lr 2.55e-04 | gn 0.72
   base: loss 5.1733 | acc 0.051 | lr 2.55e-04 | gn 1.06
  large: loss 5.0071 | acc 0.052 | lr 2.55e-04 | gn 0.89
step     310 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8136 | acc 0.047 | lr 2.53e-04 | gn 0.96
   base: loss 5.1995 | acc 0.044 | lr 2.53e-04 | gn 1.28
  large: loss 5.0306 | acc 0.049 | lr 2.53e-04 | gn 0.98
step     315 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8749 | acc 0.041 | lr 2.51e-04 | gn 0.72
   base: loss 5.3060 | acc 0.042 | lr 2.51e-04 | gn 1.09
  large: loss 5.1307 | acc 0.047 | lr 2.51e-04 | gn 1.40
step     320 | 65 g/s | 0.50s | active: small, base, large
