GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [lush-bear] ===
Device: cuda
Batch size: 4
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_small_lush-bear/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_base_lush-bear/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220127_large_lush-bear/metrics.jsonl

step       5 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.6092 | acc 0.001 | lr 3.00e-05 | gn 1.35
   base: loss 7.6418 | acc 0.001 | lr 3.00e-05 | gn 2.50
  large: loss 7.5860 | acc 0.002 | lr 3.00e-05 | gn 2.53
step      10 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.5541 | acc 0.000 | lr 6.00e-05 | gn 0.97
   base: loss 7.5233 | acc 0.003 | lr 6.00e-05 | gn 1.60
  large: loss 7.4929 | acc 0.003 | lr 6.00e-05 | gn 1.70
step      15 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.5347 | acc 0.002 | lr 9.00e-05 | gn 0.93
   base: loss 7.4770 | acc 0.003 | lr 9.00e-05 | gn 1.21
  large: loss 7.4497 | acc 0.001 | lr 9.00e-05 | gn 1.29
step      20 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.4565 | acc 0.001 | lr 1.20e-04 | gn 0.77
   base: loss 7.3668 | acc 0.001 | lr 1.20e-04 | gn 0.95
  large: loss 7.3365 | acc 0.001 | lr 1.20e-04 | gn 0.98
step      25 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.4093 | acc 0.001 | lr 1.50e-04 | gn 0.63
   base: loss 7.2910 | acc 0.001 | lr 1.50e-04 | gn 0.76
  large: loss 7.2597 | acc 0.003 | lr 1.50e-04 | gn 0.82
step      30 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.3615 | acc 0.002 | lr 1.80e-04 | gn 0.57
   base: loss 7.2510 | acc 0.003 | lr 1.80e-04 | gn 0.72
  large: loss 7.2603 | acc 0.001 | lr 1.80e-04 | gn 0.80
step      35 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.3238 | acc 0.002 | lr 2.10e-04 | gn 0.56
   base: loss 7.2271 | acc 0.003 | lr 2.10e-04 | gn 0.70
  large: loss 7.2281 | acc 0.002 | lr 2.10e-04 | gn 0.77
step      40 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.2653 | acc 0.003 | lr 2.40e-04 | gn 0.59
   base: loss 7.2183 | acc 0.003 | lr 2.40e-04 | gn 0.78
  large: loss 7.2327 | acc 0.003 | lr 2.40e-04 | gn 0.87
step      45 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.2416 | acc 0.002 | lr 2.70e-04 | gn 0.48
   base: loss 7.2235 | acc 0.002 | lr 2.70e-04 | gn 0.65
  large: loss 7.2292 | acc 0.003 | lr 2.70e-04 | gn 0.72
step      50 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1805 | acc 0.003 | lr 3.00e-04 | gn 0.52
   base: loss 7.1752 | acc 0.003 | lr 3.00e-04 | gn 0.71
  large: loss 7.1849 | acc 0.003 | lr 3.00e-04 | gn 0.81
step      55 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1752 | acc 0.003 | lr 3.00e-04 | gn 0.46
   base: loss 7.1852 | acc 0.001 | lr 3.00e-04 | gn 0.66
  large: loss 7.1651 | acc 0.004 | lr 3.00e-04 | gn 0.74
step      60 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1338 | acc 0.003 | lr 3.00e-04 | gn 0.44
   base: loss 7.1456 | acc 0.002 | lr 3.00e-04 | gn 0.69
  large: loss 7.1180 | acc 0.003 | lr 3.00e-04 | gn 0.76
step      65 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0340 | acc 0.002 | lr 3.00e-04 | gn 0.48
   base: loss 7.0374 | acc 0.004 | lr 3.00e-04 | gn 0.73
  large: loss 7.0197 | acc 0.001 | lr 3.00e-04 | gn 0.80
step      70 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1840 | acc 0.007 | lr 3.00e-04 | gn 0.52
   base: loss 7.1406 | acc 0.007 | lr 3.00e-04 | gn 0.84
  large: loss 7.1530 | acc 0.008 | lr 3.00e-04 | gn 0.88
step      75 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.2123 | acc 0.001 | lr 3.00e-04 | gn 0.51
   base: loss 7.1511 | acc 0.004 | lr 3.00e-04 | gn 0.71
  large: loss 7.1355 | acc 0.004 | lr 3.00e-04 | gn 0.79
step      80 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.2895 | acc 0.004 | lr 2.99e-04 | gn 0.49
   base: loss 7.2277 | acc 0.001 | lr 2.99e-04 | gn 0.69
  large: loss 7.2225 | acc 0.003 | lr 2.99e-04 | gn 0.77
step      85 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1828 | acc 0.004 | lr 2.99e-04 | gn 0.48
   base: loss 7.1299 | acc 0.004 | lr 2.99e-04 | gn 0.69
  large: loss 7.1336 | acc 0.004 | lr 2.99e-04 | gn 0.81
step      90 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.2542 | acc 0.002 | lr 2.99e-04 | gn 0.45
   base: loss 7.2018 | acc 0.004 | lr 2.99e-04 | gn 0.63
  large: loss 7.2086 | acc 0.005 | lr 2.99e-04 | gn 0.72
step      95 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1874 | acc 0.003 | lr 2.99e-04 | gn 0.48
   base: loss 7.1399 | acc 0.003 | lr 2.99e-04 | gn 0.64
  large: loss 7.1335 | acc 0.003 | lr 2.99e-04 | gn 0.72
step     100 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1276 | acc 0.004 | lr 2.98e-04 | gn 0.59
   base: loss 7.0674 | acc 0.004 | lr 2.98e-04 | gn 0.64
  large: loss 7.0718 | acc 0.006 | lr 2.98e-04 | gn 0.72
step     105 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1349 | acc 0.003 | lr 2.98e-04 | gn 0.52
   base: loss 7.0874 | acc 0.004 | lr 2.98e-04 | gn 0.66
  large: loss 7.0854 | acc 0.007 | lr 2.98e-04 | gn 0.73
step     110 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1307 | acc 0.006 | lr 2.97e-04 | gn 0.61
   base: loss 7.0813 | acc 0.008 | lr 2.97e-04 | gn 0.76
  large: loss 7.0751 | acc 0.008 | lr 2.97e-04 | gn 0.84
step     115 | 42 g/s | 0.10s | active: small, base, large
  small: loss 7.1579 | acc 0.004 | lr 2.97e-04 | gn 0.48
   base: loss 7.1213 | acc 0.005 | lr 2.97e-04 | gn 0.61
  large: loss 7.1218 | acc 0.005 | lr 2.97e-04 | gn 0.68
step     120 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1211 | acc 0.005 | lr 2.96e-04 | gn 0.48
   base: loss 7.0913 | acc 0.007 | lr 2.96e-04 | gn 0.65
  large: loss 7.0875 | acc 0.003 | lr 2.96e-04 | gn 0.72
step     125 | 41 g/s | 0.10s | active: small, base, large
  small: loss 7.0515 | acc 0.004 | lr 2.96e-04 | gn 0.46
   base: loss 7.0225 | acc 0.004 | lr 2.96e-04 | gn 0.63
  large: loss 7.0151 | acc 0.006 | lr 2.96e-04 | gn 0.70
step     130 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0965 | acc 0.004 | lr 2.95e-04 | gn 0.48
   base: loss 7.0665 | acc 0.004 | lr 2.95e-04 | gn 0.67
  large: loss 7.0686 | acc 0.004 | lr 2.95e-04 | gn 0.74
step     135 | 43 g/s | 0.09s | active: small, base, large
