GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [vast-owl] ===
Device: cuda
Batch size: 8
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_small_vast-owl/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_base_vast-owl/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_large_vast-owl/metrics.jsonl

step       5 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.6271 | acc 0.000 | lr 3.00e-05 | gn 1.47
   base: loss 7.6092 | acc 0.002 | lr 3.00e-05 | gn 1.71
  large: loss 7.5737 | acc 0.001 | lr 3.00e-05 | gn 2.16
step      10 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.5527 | acc 0.000 | lr 6.00e-05 | gn 1.03
   base: loss 7.5031 | acc 0.004 | lr 6.00e-05 | gn 1.28
  large: loss 7.4756 | acc 0.001 | lr 6.00e-05 | gn 1.47
step      15 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.5207 | acc 0.002 | lr 9.00e-05 | gn 0.68
   base: loss 7.4448 | acc 0.002 | lr 9.00e-05 | gn 0.89
  large: loss 7.4081 | acc 0.002 | lr 9.00e-05 | gn 0.85
step      20 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.4418 | acc 0.004 | lr 1.20e-04 | gn 0.60
   base: loss 7.3252 | acc 0.002 | lr 1.20e-04 | gn 0.73
  large: loss 7.2821 | acc 0.001 | lr 1.20e-04 | gn 0.74
step      25 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.3840 | acc 0.003 | lr 1.50e-04 | gn 0.53
   base: loss 7.2523 | acc 0.002 | lr 1.50e-04 | gn 0.66
  large: loss 7.2072 | acc 0.005 | lr 1.50e-04 | gn 0.66
step      30 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.3382 | acc 0.002 | lr 1.80e-04 | gn 0.43
   base: loss 7.2168 | acc 0.003 | lr 1.80e-04 | gn 0.52
  large: loss 7.2020 | acc 0.002 | lr 1.80e-04 | gn 0.56
step      35 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.3043 | acc 0.003 | lr 2.10e-04 | gn 0.38
   base: loss 7.2347 | acc 0.002 | lr 2.10e-04 | gn 0.49
  large: loss 7.2421 | acc 0.003 | lr 2.10e-04 | gn 0.57
step      40 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.2137 | acc 0.004 | lr 2.40e-04 | gn 0.41
   base: loss 7.1457 | acc 0.005 | lr 2.40e-04 | gn 0.56
  large: loss 7.1559 | acc 0.006 | lr 2.40e-04 | gn 0.74
step      45 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1677 | acc 0.001 | lr 2.70e-04 | gn 0.37
   base: loss 7.1138 | acc 0.005 | lr 2.70e-04 | gn 0.52
  large: loss 7.1299 | acc 0.005 | lr 2.70e-04 | gn 0.64
step      50 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1297 | acc 0.004 | lr 3.00e-04 | gn 0.33
   base: loss 7.0723 | acc 0.005 | lr 3.00e-04 | gn 0.47
  large: loss 7.0975 | acc 0.003 | lr 3.00e-04 | gn 0.72
step      55 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1490 | acc 0.003 | lr 3.00e-04 | gn 0.33
   base: loss 7.0964 | acc 0.004 | lr 3.00e-04 | gn 0.66
  large: loss 7.1056 | acc 0.005 | lr 3.00e-04 | gn 0.56
step      60 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1177 | acc 0.004 | lr 3.00e-04 | gn 0.33
   base: loss 7.0478 | acc 0.004 | lr 3.00e-04 | gn 0.50
  large: loss 7.0488 | acc 0.006 | lr 3.00e-04 | gn 0.51
step      65 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.0854 | acc 0.003 | lr 3.00e-04 | gn 0.36
   base: loss 7.0292 | acc 0.004 | lr 3.00e-04 | gn 0.56
  large: loss 7.0348 | acc 0.005 | lr 3.00e-04 | gn 0.57
step      70 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.1446 | acc 0.004 | lr 3.00e-04 | gn 0.36
   base: loss 7.0792 | acc 0.003 | lr 3.00e-04 | gn 0.48
  large: loss 7.0850 | acc 0.005 | lr 3.00e-04 | gn 0.53
step      75 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1463 | acc 0.004 | lr 3.00e-04 | gn 0.53
   base: loss 7.0673 | acc 0.006 | lr 3.00e-04 | gn 0.49
  large: loss 7.0726 | acc 0.004 | lr 3.00e-04 | gn 0.55
step      80 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1815 | acc 0.005 | lr 2.99e-04 | gn 0.40
   base: loss 7.1100 | acc 0.004 | lr 2.99e-04 | gn 0.50
  large: loss 7.1136 | acc 0.004 | lr 2.99e-04 | gn 0.56
step      85 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.1859 | acc 0.004 | lr 2.99e-04 | gn 0.74
   base: loss 7.1228 | acc 0.004 | lr 2.99e-04 | gn 0.52
  large: loss 7.1294 | acc 0.006 | lr 2.99e-04 | gn 0.57
step      90 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1397 | acc 0.003 | lr 2.99e-04 | gn 0.36
   base: loss 7.1018 | acc 0.003 | lr 2.99e-04 | gn 0.48
  large: loss 7.0982 | acc 0.003 | lr 2.99e-04 | gn 0.52
step      95 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1432 | acc 0.004 | lr 2.99e-04 | gn 0.36
   base: loss 7.1020 | acc 0.005 | lr 2.99e-04 | gn 0.48
  large: loss 7.1067 | acc 0.004 | lr 2.99e-04 | gn 0.54
step     100 | 56 g/s | 0.14s | active: small, base, large
